Location,X,Y
North Campus,,
West Campus,,
Central (East Ave),,
Central (Tower),,
Ithaca College,,
TC3,,
CTown,,
DMV,,
YMCA,,
Library,,
ScienceCenter,,
Airport,,
Commons,,
Marketplace,,
Wegman's/WalMart,,
TJ's,,
Ithaca Mall,,
